match,date,match_id,youtube_url,minute,second,timestamp_mmss,corner_team,kicker
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,16,22,16:22,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,18,8,18:08,Norway Women's,Guro Reiten
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,24,37,24:37,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,41,19,41:19,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,44,29,44:29,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,50,4,50:04,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,52,54,52:54,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,62,48,62:48,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,73,22,73:22,New Zealand Women's,Ria Percival
New Zealand vs Norway,2023-07-20,3893787,https://www.youtube.com/watch?v=xYl-l6J_AhM,82,21,82:21,Norway Women's,Caroline Graham Hansen
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,1,44,1:44,Haiti Women's,Sherly Jeudy
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,2,57,2:57,England Women's,Chloe Kelly
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,3,38,3:38,England Women's,Alex Greenwood
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,24,39,24:39,England Women's,Chloe Kelly
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,44,23,44:23,Haiti Women's,Sherly Jeudy
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,58,27,58:27,England Women's,Alex Greenwood
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,58,46,58:46,England Women's,Alex Greenwood
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,63,48,63:48,England Women's,Chloe Kelly
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,85,32,85:32,England Women's,Chloe Kelly
England vs Haiti,2023-07-22,3893794,https://www.youtube.com/watch?v=-VUkBFlLoDM,90,29,90:29,Haiti Women's,Melchie Daëlle Dumornay
Argentina vs Saudi Arabia,2022-11-22,3857300,https://www.youtube.com/watch?v=taD7yT6Bmi0,5,58,5:58,Argentina,Lionel Andrés Messi Cuccittini
